pop.id,dame_mf,sire_mf,Rep,Rack,Unique.ID,seeds_per_pot,Num_germ,4/24/2025,4/25/2025,4/26/2025,4/28/2025,4/29/2025,4/30/2025,5/1/2025,5/2/2025,5/5/2025,5/6/2025,5/7/2025,5/8/2025,5/9/2025,5/10/2025,5/12/2025,5/13/2025,Notes
LV1 x WL2,14,8,1,3,1978,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,2,3,1979,3,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,
LV1 x WL2,,,3,3,1980,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,4,3,1981,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
LV1 x WL2,14,8,5,3,1982,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,6,3,1983,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5/2 removed non-STTO seedling
LV1 x WL2,14,8,7,3,1984,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,8,3,1985,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,9,3,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,10,3,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1 x WL2,14,8,11,3,1988,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
TM2 x WL2,2,2,1,3,1992,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TM2 x WL2,2,2,2,3,1993,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
TM2 x WL2,2,2,3,3,1994,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TM2 x WL2,2,2,4,3,1995,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
